studentId	Predmet	BrojKredita	Ocjene	PolozioDatum	Godina	SkolskaGodina	Semestar	Priznat	DatumUpisa	Spol	ZavrsenaSkolaId	SrednjaSkola	OpstinaRodjenja	GodinaZavrsetka	NacinStudiranja	OpstinaPrebivalista	Diplomirao
16352	P-220	7	6	1/31/2019	1	2018/2019	1	0	7/18/2018	M	1	Gimnazija	Mostar	2017/2018	DL	Mostar	0
16353	P-220	7	7	2/14/2019	1	2018/2019	1	0	7/18/2018	Ž	1	Gimnazija	Konjic	2017/2018	DL	Jablanica	0
16354	P-220	7	6	2/14/2019	1	2018/2019	1	0	7/18/2018	M	18	Medresa	Tuzla	2017/2018	DL	Živinice	0
16355	P-220	7	6	1/31/2019	1	2018/2019	1	0	7/19/2018	Ž	1	Gimnazija	Travnik	2017/18	DL	Donji Vakuf	0
16356	P-220	7	6	1/31/2019	1	2018/2019	1	0	7/18/2018	M	1	Gimnazija	Goražde	2011/2012	Redovan samofinansirajući	Goražde	0
16357	P-220	7	8	1/31/2019	1	2018/2019	1	0	7/18/2018	M	13	Tehnička	Goražde	2017/2018	DL	Goražde	0
16358	P-220	7	6	2/14/2019	1	2018/2019	1	0	7/18/2018	Ž	18	Medresa	Zenica	2017/2018	DL	Tuzla	0
16359	P-220	7	8	1/31/2019	1	2018/2019	1	0	7/19/2018	M	1	Gimnazija	Sanski Most	2017/18	Redovan samofinansirajući	Sanski Most	0
16360	P-220	7	6	1/31/2019	1	2018/2019	1	0	7/18/2018	M	18	Medresa	Tuzla	2017/2018	DL	Tuzla	0
16361	P-220	7	6	8/26/2019	1	2018/2019	1	0	7/18/2018	M	1	Gimnazija	Bugojno	2017/2018	DL	Bugojno	0
16362	P-220	7	7	1/31/2019	1	2018/2019	1	0	7/18/2018	M	1	Gimnazija	Visoko	2017/2018	DL	Visoko	1
16363	P-220	7	8	2/14/2019	1	2018/2019	1	0	7/19/2018	M	1	Gimnazija	Ilidža	2017/18	DL	Ilidža	0
16364	P-220	7	8	1/31/2019	1	2018/2019	1	0	7/18/2018	M	1	Gimnazija	Sarajevo - Centar	2017/2018	DL	Visoko	1
16365	P-220	7	9	1/31/2019	1	2018/2019	1	0	7/18/2018	Ž	6	Ekonomska	Mostar	2017/2018	Redovan samofinansirajući	Mostar	0
16366	P-220	7	7	2/14/2019	1	2018/2019	1	0	7/19/2018	M	3	Mašinska	Goražde	2017/18	Vanredan	Goražde	0
16367	P-220	7	5		1	2018/2019	1	0	7/18/2018	Ž	1	Gimnazija	Zenica	2017/2018	DL	Zavidovići	0
16368	P-220	7	7	2/14/2019	1	2018/2019	1	0	7/18/2018	M	1	Gimnazija	Travnik	2017/2018	DL	Travnik	1
16369	P-220	7	8	2/14/2019	1	2018/2019	1	0	9/4/2018	M	25	Turističko ugostiteljska	Pale	2017/18	DL	Pale	0
16370	P-220	7	7	1/31/2019	1	2018/2019	1	0	7/18/2018	M	2	Elektrotehnička	Mostar	2017/2018	Redovan samofinansirajući	Mostar	0
16371	P-220	7	7	2/14/2019	1	2018/2019	1	0	7/18/2018	Ž	1	Gimnazija	Zenica	2017/2018	Redovan samofinansirajući	Zavidovići	0
16372	P-220	7	5		1	2018/2019	1	0	7/19/2018	M	13	Tehnička	Sarajevo - Centar	2016/17	Vanredan	Sarajevo - Centar	0
16374	P-220	7	8	2/14/2019	1	2018/2019	1	0	7/18/2018	M	1	Gimnazija	Mostar	2017/2018	DL	Mostar	0
16375	P-220	7	8	1/31/2019	1	2018/2019	1	0	9/4/2018	M	1	Gimnazija	Zenica	2017/18	DL	Kakanj	0
16376	P-220	7	5		1	2018/2019	1	0	7/18/2018	M	1	Gimnazija	Vareš	2017/2018	DL	Vareš	0
16377	P-220	7	5		1	2018/2019	1	0	7/18/2018	M	1	Gimnazija	Zvornik	2017/2018	DL	Vareš	0
16378	P-220	7	7	8/26/2019	1	2018/2019	1	0	7/18/2018	M	1	Gimnazija	Vareš	2017/2018	DL	Vareš	0
16379	P-220	7	8	1/31/2019	1	2018/2019	1	0	7/18/2018	M	2	Elektrotehnička	Sarajevo - Centar	2017/2018	DL	Visoko	0
16380	P-220	7	5		1	2018/2019	1	0	9/18/2018	M	6	Ekonomska	Sarajevo - Centar	2017/2018	DL	Vareš	0
16381	P-220	7	6	1/31/2019	1	2018/2019	1	0	7/19/2018	M	4	Medicinska	Gračanica	2017/18	DL	Gračanica	0
16382	P-220	7	7	1/31/2019	1	2018/2019	1	0	7/19/2018	M	1	Gimnazija	Sarajevo - Centar	2017/18	DL	Vogošća	0
16383	P-220	7	6	1/31/2019	1	2018/2019	1	0	7/19/2018	Ž	4	Medicinska	Konjic	2017/2018	DL	Mostar	0
16384	P-220	7	7	1/31/2019	1	2018/2019	1	0	7/19/2018	M	2	Elektrotehnička	Tuzla	2017/2018	Redovan samofinansirajući	Tuzla	0
16385	P-220	7	6	1/31/2019	1	2018/2019	1	0	9/5/2018	M	1	Gimnazija	Zenica	2017/18	DL	Kakanj	1
16386	P-220	7	7	1/31/2019	1	2018/2019	1	0	7/19/2018	M	1	Gimnazija	Sarajevo-Novo Sarajevo	2017/2018	DL	Sarajevo-Novo Sarajevo	0
16387	P-220	7	6	1/31/2019	1	2018/2019	1	0	7/19/2018	M	1	Gimnazija	Sarajevo - Centar	2017/2018	DL	Sarajevo-Novo Sarajevo	0
16388	P-220	7	6	1/31/2019	1	2018/2019	1	0	7/19/2018	M	2	Elektrotehnička	Zenica	2017/18	Redovan samofinansirajući	Zavidovići	0
16389	P-220	7	7	1/31/2019	1	2018/2019	1	0	7/19/2018	M	1	Gimnazija	Sarajevo - Centar	2017/2018	DL	Sarajevo - Centar	0
16390	P-220	7	5		1	2018/2019	1	0	7/19/2018	M	2	Elektrotehnička	Mostar	2017/2018	DL	Mostar	0
16391	P-220	7	6	1/31/2019	1	2018/2019	1	0	7/19/2018	M	2	Elektrotehnička	Bugojno	2017/18	DL	Bugojno	0
16392	P-220	7	9	1/31/2019	1	2018/2019	1	0	9/5/2018	Ž	1	Gimnazija	Sarajevo - Centar	2017/18	DL	Vogošća	1
16393	P-220	7	7	2/14/2019	1	2018/2019	1	0	7/19/2018	M	2	Elektrotehnička	Mostar	2017/2018	DL	Mostar	0
16394	P-220	7	7	1/31/2019	1	2018/2019	1	0	7/19/2018	Ž	1	Gimnazija	Sarajevo - Centar	2017/18	DL	Vogošća	1
16395	P-220	7	5		1	2018/2019	1	0	7/19/2018	M	4	Medicinska	Travnik	2017/2018	DL	Jajce	0
16396	P-220	7	7	1/31/2019	1	2018/2019	1	0	7/19/2018	M	1	Gimnazija	Zenica	2017/18	DL	Kakanj	0
16398	P-220	7	5		1	2018/2019	1	0	7/19/2018	Ž	18	Medresa	Zenica	2017/18	DL	Zenica	0
16399	P-220	7	6	2/14/2019	1	2018/2019	1	0	7/19/2018	M	4	Medicinska	Vitez	2017/2018	DL	Vitez	0
16400	P-220	7	8	2/14/2019	1	2018/2019	1	0	7/19/2018	Ž	6	Ekonomska	Sarajevo - Novi grad	2017/18	DL	Sarajevo	0
16401	P-220	7	6	1/31/2019	1	2018/2019	1	0	7/19/2018	M	2	Elektrotehnička	Mostar	2015/16	DL	Mostar	0
16402	P-220	7	7	1/31/2019	1	2018/2019	1	0	7/19/2018	M	1	Gimnazija	Travnik	2017/18	Redovan samofinansirajući	Gornji Vakuf - Uskoplje	1
16403	P-220	7	7	1/31/2019	1	2018/2019	1	0	7/19/2018	M	18	Medresa	Tuzla	2017/2018	Redovan samofinansirajući	Kalesija	0
16404	P-220	7	8	1/31/2019	1	2018/2019	1	0	7/19/2018	M	1	Gimnazija	Mostar	2017/2018	DL	Mostar	0
16405	P-220	7	6	1/31/2019	1	2018/2019	1	0	7/19/2018	M	18	Medresa	Tuzla	2017/2018	Vanredan	Živinice	0
16406	P-220	7	6	9/3/2021	1	2018/2019	1	0	7/19/2018	M	1	Gimnazija	Sanski Most	2016/2017	Vanredan	Sanski Most	0
16407	P-220	7	7	2/14/2019	1	2018/2019	1	0	7/19/2018	M	1	Gimnazija	Sanski Most	2017/18	Vanredan	Sanski Most	0
16408	P-220	7	9	2/14/2019	1	2018/2019	1	0	7/19/2018	Ž	1	Gimnazija	Sanski Most	2016/2017	DL	Sanski Most	0
16409	P-220	7	7	2/14/2019	1	2018/2019	1	0	7/19/2018	M	3	Mašinska	Tuzla	2014/15	DL	Lukavac	0
16410	P-220	7	8	2/14/2019	1	2018/2019	1	0	7/19/2018	Ž	1	Gimnazija	Sarajevo - Centar	2017/2018	DL	Sarajevo - Novi grad	0
16412	P-220	7	6	2/14/2019	1	2018/2019	1	0	7/20/2018	M	35	Ostalo	Zenica	2013/2014	DL	Travnik	0
